date,regime,prior_position,previous_position,chosen_position,value_0,value_25,value_50,value_75,value_100,visits_0,visits_25,visits_50,visits_75,visits_100
2014-04-14,2,0.0,0.0,1.0,-0.0011323139955029915,-0.004810440562575129,0.00034256709959081124,0.0034369276788651093,0.014209223682877824,20,19,20,20,21
2014-04-15,2,0.0,1.0,0.75,-0.00022288135460102944,-0.0004436325579077492,-0.0004890230094980047,0.00592831289481822,-0.012819913130710483,20,20,20,21,19
2014-04-16,2,0.0,0.75,0.0,0.005199003906706539,0.0014427203702761069,-0.0011541661346566004,-0.00984924817764245,-0.0018769192546357967,20,20,20,20,20
2014-04-17,2,0.0,0.0,0.5,-0.002270019636702427,-0.002405578981848759,0.0009856393537868984,-0.006427367974509114,-0.009301330491806363,20,20,20,20,20
2014-04-21,2,0.0,0.5,1.0,0.004255450022566391,0.0033844420883483452,-0.03871301520381612,0.0012518561270882043,0.02509068220581356,20,20,18,20,22
2014-04-22,2,0.0,1.0,0.5,-0.005044301854675636,0.005014029021566901,0.013305111133890869,0.00986019955884125,-0.019338788118905707,20,20,21,20,19
2014-04-23,2,0.0,0.5,1.0,-0.009894512234758712,-0.002414896794404957,-0.004033469197190055,-0.015022073438557432,0.0026965226491938057,20,20,20,19,21
2014-04-24,2,0.0,1.0,0.0,0.0015109383958108425,-0.00494403268936935,-0.0008746549642300894,-0.001185555166119812,-0.004699812341267115,20,20,20,20,20
2014-04-25,2,0.0,0.0,1.0,0.0006718966763182106,-0.00250380288835579,-0.0041542203975386965,-0.004718173604158964,0.009169197474962315,20,20,20,20,20
2014-04-28,2,0.0,1.0,0.75,0.0038327762524948223,-0.001175721000662207,-0.005748114677022201,0.004747301502197197,-0.0013813298381026838,20,20,20,20,20
2014-04-29,2,0.0,0.75,0.25,-0.003579104679958331,0.011921965105700564,-0.000946947880633281,-0.011260592519572992,0.006190176933447532,20,21,20,19,20
2014-04-30,2,0.0,0.25,0.75,0.0010618976139645244,0.000888553253993198,0.0006263914400079076,0.004831881721383747,-0.0027500435277863266,20,20,20,20,20
2014-05-01,2,0.0,0.75,0.0,0.002439671234254012,0.0005461787746619182,-0.002293738663144142,-0.0021306251957600823,-0.0030412204718653127,20,20,20,20,20
2014-05-02,2,0.0,0.0,0.5,-0.0033348086095770445,-0.0037934095700679084,0.010565427336124554,-0.008518202128915912,-0.010511338535856587,20,20,21,20,19
2014-05-05,2,0.0,0.5,1.0,-0.003878799682112961,-0.004127579786943063,-0.008319188133745607,0.0014683221785409361,0.0067461699072623605,20,20,20,20,20
2014-05-06,2,0.0,1.0,1.0,-0.0024902024208933496,0.0005565979237236811,-0.004099335506450723,-0.005395445637857812,0.009937696237193698,20,20,20,20,20
2014-05-07,2,0.0,1.0,1.0,-0.0007598338687222945,-0.0023702643090651233,-0.0011263791624108923,0.001911209945497014,0.0159902383908841,20,19,20,20,21
2014-05-08,2,0.0,1.0,1.0,0.0038070145700245437,0.003077367702291971,0.0036407477335394615,-0.011700349017679112,0.010347101306348569,20,20,20,19,21
2014-05-09,1,0.0,1.0,0.25,-0.001461291409405325,0.00523716862177293,-0.006542156446163905,-0.007055842210486963,-0.005878960280852681,20,20,20,20,20
2014-05-12,1,0.0,0.25,0.75,-0.004930632201427275,-0.0028934751227602793,-0.007893484273822712,0.01050250345030329,0.004871248446351516,20,20,19,21,20
2014-05-13,1,0.0,0.75,0.25,-0.0017395221377187835,-0.0004345306174158688,-0.004185882771600967,-0.0034074790859474425,-0.00400819216266966,20,20,20,20,20
2014-05-14,1,0.0,0.25,1.0,0.0016140908993376786,-0.0005823363913576368,-0.00399512796681898,-0.0025596371973115256,0.011197755613002158,20,20,20,20,20
2014-05-15,1,0.0,1.0,0.5,-0.0010068110589909612,-0.003955207653216379,0.0031128923638507368,-0.009971579905850503,-0.00014320196585171192,20,20,20,20,20
2014-05-16,1,0.0,0.5,0.25,0.0013569729593863149,0.005084962948595192,9.25467501871415e-05,0.0017258768804875525,-0.0004141506894480519,20,20,20,20,20
2014-05-19,1,0.0,0.25,0.0,0.0017023234586720285,-0.0027479320719178543,-0.003682376058455916,-0.014405724262143042,-0.0038216939232965388,20,20,20,20,20
2014-05-20,2,0.0,0.0,0.75,-0.0028412576711586333,-0.008745995162715254,-0.004272695488579807,0.008603990119559436,-0.023016405888228626,20,20,20,21,19
2014-05-21,1,0.0,0.75,0.75,-0.0034190504073182255,-0.0013900306241379531,0.0023891066551301535,0.009703420898602166,0.002168104186438382,20,20,20,20,20
2014-05-22,1,0.0,0.75,0.75,-0.0007130369571767865,-0.0026430245526072984,-0.0015636170264441325,0.0034882567822537938,-0.014077536845429518,20,20,20,21,19
2014-05-23,1,0.0,0.75,0.0,0.0017809117377301175,-0.001847849587488668,-0.0008874661970006157,-0.0023779925358835005,-0.000674792662484413,20,20,20,20,20
2014-05-27,1,0.0,0.0,0.5,-0.0025830144594433152,-0.00043991677477034656,0.004295790951610943,-0.0038937220974001345,-0.01790335039523891,20,20,21,20,19
2014-05-28,1,0.0,0.5,1.0,0.002020384037485991,-0.0012013188367251827,-0.005239048436385905,0.003092980432316037,0.005726244463550484,20,20,20,20,20
2014-05-29,1,0.0,1.0,1.0,0.0006589617687926111,-0.0006333387651152302,-2.902653273141251e-07,-0.0029242599424081387,0.007879982354789466,20,20,20,20,20
2014-05-30,1,0.0,1.0,0.25,-0.0029389314703251643,0.0010432253798866194,-0.0024345754098551754,0.00011552722184125651,0.00017137652411133817,20,20,20,20,20
2014-06-02,1,0.0,0.25,0.5,-0.0010965694211215872,0.0014682050656740161,0.004919106163300541,-0.006984590138471407,-0.0011511533625193071,20,20,20,20,20
2014-06-03,1,0.0,0.5,1.0,-0.005135842126486509,-0.0010442394882047568,-0.0016427332141309026,-0.005453849739802231,0.0005954602426104195,20,20,20,20,20
2014-06-04,1,0.0,1.0,0.0,0.004529927160653798,0.0007789745112678737,-0.006549388972682433,-0.002707314133278703,-0.010068257427866042,20,20,20,20,20
2014-06-05,1,0.0,0.0,0.0,0.0023587394069040216,-0.0006675311891840976,-0.000759151669787057,0.00011060153927300686,-0.00625629129480647,20,20,20,20,20
2014-06-06,1,0.0,0.0,0.25,-0.003277914649948951,0.0038434554647972475,-0.004572053446283856,0.001000101826533556,-0.00736353799145649,20,20,20,20,20
2014-06-09,1,0.0,0.25,1.0,-0.0017334135797295429,0.0006620719393122638,-0.000854225339595589,0.0008306919308555497,0.007796768241796722,20,20,20,20,20
2014-06-10,1,0.0,1.0,1.0,-0.005428065395092491,0.002293459231807476,0.003084978340471348,0.004144508739835228,0.003907972968592766,20,20,20,20,20
2014-06-11,1,0.0,1.0,0.5,-0.004289075941110275,-0.006971008969708125,0.007838410082924909,-0.0003807124783725002,-0.007404059932348046,20,20,20,20,20
2014-06-12,1,0.0,0.5,0.75,0.0003199750764530308,-0.0020312971008302613,-0.0038621839256411765,0.006407595422384329,-0.003898988211557558,20,20,20,20,20
2014-06-13,1,0.0,0.75,0.25,-0.00018031367113944454,0.0011654056434146141,-0.007656742529371334,-0.008090606378048256,-0.004611772476178452,20,20,20,20,20
2014-06-16,1,0.0,0.25,0.75,-0.0008629377344907434,-6.106774504154753e-05,1.4119174333122397e-05,0.004708501707446742,-0.016686948084902297,20,20,20,21,19
2014-06-17,1,0.0,0.75,0.0,0.0023735665903852642,-0.00022705210400140416,-0.0038990786221214735,-0.00951628827592686,0.0007189380263790314,20,20,20,20,20
